annotation_id,question_id,prompt_id,fact_type,label,binary_label,span_text,token_count,mean_token_nll,mean_token_entropy,max_token_entropy,mean_top2_margin,min_top2_margin,one_minus_mean_top2_margin,one_minus_min_top2_margin
ann_q_0065_002,q_0065,p_0065,ranking,hallucinated_key_fact,1,1.,2,0.098361,0.267842,0.531932,0.829602,0.65993,0.17039800000000005,0.34007
ann_q_0065_003,q_0065,p_0065,product_name,hallucinated_key_fact,1,DOORMAT KEEP CALM AND COME IN,9,0.115583,0.110376,0.966272,0.913812,0.229947,0.08618800000000004,0.770053
ann_q_0065_004,q_0065,p_0065,currency_amount,hallucinated_key_fact,1,GBP 5952.26,9,0.106435,0.21443,1.017789,0.843511,0.244888,0.156489,0.755112
ann_q_0065_005,q_0065,p_0065,ranking,hallucinated_key_fact,1,2.,2,4e-06,5.9e-05,9.2e-05,0.999994,0.999989,5.999999999950489e-06,1.0999999999983245e-05
ann_q_0065_006,q_0065,p_0065,product_name,hallucinated_key_fact,1,JUMBO BAG RED RETROSPOT,10,0.035242,0.116705,1.16097,0.959481,0.59547,0.04051899999999997,0.40452999999999995
ann_q_0065_007,q_0065,p_0065,currency_amount,hallucinated_key_fact,1,GBP 7114.70,9,1.2e-05,0.000151,0.000384,0.999982,0.999944,1.799999999996249e-05,5.599999999994498e-05
ann_q_0065_008,q_0065,p_0065,ranking,hallucinated_key_fact,1,3.,2,5e-06,8.2e-05,0.000108,0.999993,0.999989,6.999999999979245e-06,1.0999999999983245e-05
ann_q_0065_009,q_0065,p_0065,product_name,hallucinated_key_fact,1,PARTY BUNTING,4,0.281445,0.416619,1.653462,0.760131,0.04326,0.239869,0.95674
ann_q_0065_010,q_0065,p_0065,currency_amount,hallucinated_key_fact,1,GBP 19093.30,10,3.4e-05,0.000389,0.002476,0.999946,0.999607,5.3999999999998494e-05,0.0003929999999999767
ann_q_0072_001,q_0072,p_0072,date_range,correct_key_fact,0,December 2011 through December 9,10,0.043862,0.124809,1.22484,0.948016,0.482945,0.05198400000000003,0.517055
ann_q_0072_002,q_0072,p_0072,ranking,hallucinated_key_fact,1,1.,2,0.077453,0.230455,0.457748,0.862381,0.725386,0.13761900000000005,0.274614
ann_q_0072_003,q_0072,p_0072,product_name,hallucinated_key_fact,1,POPcORN HOLDER,4,0.121627,0.522935,0.964865,0.836858,0.724433,0.163142,0.275567
ann_q_0072_004,q_0072,p_0072,product_stock_code,hallucinated_key_fact,1,22197,5,0.108323,0.28095,1.400933,0.873497,0.367886,0.12650300000000003,0.6321140000000001
ann_q_0072_005,q_0072,p_0072,currency_amount,hallucinated_key_fact,1,GBP 5409.86,9,0.128509,0.240413,1.081625,0.817745,0.124294,0.18225499999999994,0.875706
ann_q_0072_006,q_0072,p_0072,ranking,hallucinated_key_fact,1,2.,2,1.5e-05,0.0002,0.000383,0.999978,0.999956,2.199999999996649e-05,4.4000000000044004e-05
ann_q_0072_007,q_0072,p_0072,product_name,hallucinated_key_fact,1,RABBIT NIGHT LIGHT,5,0.102826,0.188731,0.869572,0.844425,0.237481,0.15557500000000002,0.762519
ann_q_0072_008,q_0072,p_0072,product_stock_code,hallucinated_key_fact,1,23084,5,2.4e-05,0.000282,0.00087,0.999954,0.999845,4.599999999999049e-05,0.00015500000000001624
ann_q_0072_009,q_0072,p_0072,currency_amount,hallucinated_key_fact,1,GBP 9603.45,9,1.7e-05,0.000202,0.00115,0.99997,0.999797,2.999999999997449e-05,0.00020299999999995322
ann_q_0072_010,q_0072,p_0072,ranking,hallucinated_key_fact,1,3.,2,5e-06,8.7e-05,0.000143,0.999993,0.999987,6.999999999979245e-06,1.3000000000040757e-05
ann_q_0072_011,q_0072,p_0072,product_name,hallucinated_key_fact,1,METAL SIGN TAKE IT OR LEAVE IT,9,0.092045,0.170847,1.508769,0.910954,0.20356,0.08904599999999996,0.79644
ann_q_0072_012,q_0072,p_0072,product_stock_code,hallucinated_key_fact,1,22413,5,0.003671,0.018493,0.090445,0.992738,0.964003,0.007261999999999991,0.035996999999999946
ann_q_0072_013,q_0072,p_0072,currency_amount,hallucinated_key_fact,1,GBP 3996.70,9,0.017829,0.046907,0.420056,0.967067,0.703856,0.03293299999999999,0.29614399999999996
ann_q_0072_014,q_0072,p_0072,unsupported_business_claim,hallucinated_key_fact,1,These products reflect the highest net revenue values in the provided data,12,0.922367,1.567978,3.109305,0.394243,0.01926,0.605757,0.98074
ann_q_0088_001,q_0088,p_0088,currency_amount,correct_key_fact,0,34343.77,8,0.111656,0.346468,1.622077,0.894151,0.416801,0.10584899999999997,0.583199
ann_q_0088_002,q_0088,p_0088,currency_amount,hallucinated_key_fact,1,13961.94,8,4.9e-05,0.000533,0.002466,0.999917,0.999552,8.300000000005525e-05,0.00044800000000000395
ann_q_0088_003,q_0088,p_0088,currency_amount,hallucinated_key_fact,1,12816.79,8,0.006961,0.027123,0.208859,0.986493,0.893162,0.013507000000000047,0.10683799999999999
ann_q_0088_004,q_0088,p_0088,currency_amount,hallucinated_key_fact,1,GBP 61122.50,10,0.105491,0.24172,0.687486,0.831377,0.24411,0.16862299999999997,0.75589
ann_q_0088_005,q_0088,p_0088,month,correct_key_fact,0,November 2011,6,0.05335,0.105539,0.593332,0.908631,0.461599,0.09136900000000003,0.538401
ann_q_0088_006,q_0088,p_0088,currency_amount,correct_key_fact,0,"GBP 1,427,121.25",14,0.000143,0.001343,0.013194,0.999786,0.998084,0.00021400000000004749,0.0019160000000000288
ann_q_0088_007,q_0088,p_0088,percentage,hallucinated_key_fact,1,43.0%,5,0.482439,0.823927,2.146412,0.526911,0.124348,0.473089,0.875652
